# Geodesic pattern 24 class 2 npts 17282 area_per_point= 2.3870 
# From geodesic_tiling_pattern_npts17282.txt
# http://www.mpe.mpg.de/~4most/4FS/geodesic_pattern_list.html
# As adopted by BLISS and DeCALS
# RA            DEC
201.933550   23.297828
199.374498   24.528214
196.765721   25.714593
194.105462   26.853620
191.392337   27.941879
188.625393   28.975897
185.804177   29.952171
182.928801   30.867190
236.143670   -1.553228
234.001670   -3.104290
231.853380   -4.651009
229.695653   -6.191190
227.525341   -7.722609
225.339297   -9.243003
223.134374  -10.750062
220.907435  -12.241417
218.655355  -13.714636
216.375036  -15.167213
214.063412  -16.596560
211.717474  -18.000000
209.334286  -19.374764
206.911012  -20.717986
204.444945  -22.026697
201.933550  -23.297828
199.374498  -24.528214
196.765721  -25.714593
194.105462  -26.853620
191.392337  -27.941879
188.625393  -28.975897
185.804177  -29.952171
182.928801  -30.867190
119.074352    0.000000
116.431229   -0.000000
113.788106    0.000000
111.144983    0.000000
108.501860    0.000000
105.858737    0.000000
103.215614    0.000000
100.572491    0.000000
 97.929369    0.000000
 95.286246    0.000000
 92.643123    0.000000
 90.000000    0.000000
 87.356877    0.000000
 84.713754    0.000000
 82.070631    0.000000
 79.427509    0.000000
 76.784386   -0.000000
 74.141263    0.000000
 71.498140    0.000000
 68.855017    0.000000
 66.211894    0.000000
 63.568771    0.000000
 60.925649    0.000000
123.856330    1.553228
125.998330    3.104290
128.146620    4.651009
130.304347    6.191190
132.474659    7.722609
134.660703    9.243003
136.865626   10.750062
139.092565   12.241417
141.344645   13.714636
143.624964   15.167213
145.936588   16.596560
148.282526   18.000000
150.665714   19.374764
153.088988   20.717986
155.555055   22.026697
158.066450   23.297828
160.625502   24.528214
163.234279   25.714593
165.894538   26.853620
168.607663   27.941879
171.374607   28.975897
174.195823   29.952171
177.071199   30.867190
123.856330   -1.553228
125.998330   -3.104290
128.146620   -4.651009
130.304347   -6.191190
132.474659   -7.722609
134.660703   -9.243003
136.865626  -10.750062
139.092565  -12.241417
141.344645  -13.714636
143.624964  -15.167213
145.936588  -16.596560
148.282526  -18.000000
150.665714  -19.374764
153.088988  -20.717986
155.555055  -22.026697
158.066450  -23.297828
160.625502  -24.528214
163.234279  -25.714593
165.894538  -26.853620
168.607663  -27.941879
171.374607  -28.975897
